ID,SEXENT,tuition_IO,race_ethn_desc_IPEDS,heg_f1,Major_F1,coll_f1,entering_fall,heg_s1,Major_S1,coll_s1,heg_f2,Major_F2,coll_f2,heg_s2,Major_S2,coll_s2,heg_f3,Major_F3,coll_f3,heg_s3,Major_S3,coll_s3,heg_f4,Major_F4,coll_f4,heg_s4,Major_S4,coll_s4,heg_f5,Major_F5,coll_f5,heg_s5,Major_S5,coll_s5,heg_f6,Major_F6,coll_f6,heg_s6,Major_S6,coll_s6,dgrterm,MAJOR_SF,SF,degree_major,degree_college,degree_year
33,M,I,White,GE,GE_F1,ENG_F1,Fall 2005,GE,GE_S1,ENG_S1,ISE,ISE_F2,ENG_F2,ISE,ISE_S2,ENG_S2,ISE,ISE_F3,ENG_F3,COMM,COMM_S3,LAHS_S3,COMM,COMM_F4,LAHS_F4,COMM,COMM_S4,LAHS_S4,,NE_F5,NE_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200909,GRAD_S5,_S5,COMM,07,2009
34,M,I,Asian,GE,GE_F1,ENG_F1,Fall 2005,,NE_S1,NE_S1,,NE_F2,NE_F2,GE,GE_S2,ENG_S2,GE,GE_F3,ENG_F3,,NE_S3,NE_S3,,NE_F4,NE_F4,,NE_S4,NE_S4,GE,GE_F5,ENG_F5,CS,CS_S5,ENG_S5,,NE_F6,NE_F6,CS,CS_S6,ENG_S6,,,,,,
35,F,I,Hispanics of any race,CHEM,CHEM_F1,SCI_F1,Fall 2005,CHEM,CHEM_S1,SCI_S1,CHEM,CHEM_F2,SCI_F2,CHEM,CHEM_S2,SCI_S2,HNFE,HNFE_F3,ALS_F3,HNFE,HNFE_S3,ALS_S3,HNFE,HNFE_F4,ALS_F4,HNFE,HNFE_S4,ALS_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200901,GRAD_F5,_F5,HNFE,01,2009
36,M,O,White,US,US_F1,IC_F1,Fall 2005,US,US_S1,IC_S1,,NE_F2,NE_F2,US,US_S2,IC_S2,US,US_F3,IC_F3,US,US_S3,IC_S3,BC,BC_F4,AUS_F4,BC,BC_S4,AUS_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,BC,BC_F6,AUS_F6,,NE_S6,NE_S6,,,,,,
37,M,I,White,FIN,FIN_F1,BIZ_F1,Fall 2005,FIN,FIN_S1,BIZ_S1,FIN,FIN_F2,BIZ_F2,FIN,FIN_S2,BIZ_S2,FIN,FIN_F3,BIZ_F3,FIN,FIN_S3,BIZ_S3,FIN,FIN_F4,BIZ_F4,FIN,FIN_S4,BIZ_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200901,GRAD_F5,_F5,FIN,03,2009
38,F,I,White,AHRM,AHRM_F1,LAHS_F1,Fall 2005,,NE_S1,NE_S1,,NE_F2,NE_F2,,NE_S2,NE_S2,,NE_F3,NE_F3,,NE_S3,NE_S3,,NE_F4,NE_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
39,M,O,Asian,BUS,BUS_F1,BIZ_F1,Fall 2005,BUS,BUS_S1,BIZ_S1,BUS,BUS_F2,BIZ_F2,FIN,FIN_S2,BIZ_S2,FIN,FIN_F3,BIZ_F3,FIN,FIN_S3,BIZ_S3,FIN,FIN_F4,BIZ_F4,FIN,FIN_S4,BIZ_S4,FIN,FIN_F5,BIZ_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200909,GRAD_S5,_S5,FIN,03,2009
40,F,I,Not Reported,GE,GE_F1,ENG_F1,Fall 2005,GE,GE_S1,ENG_S1,BSE,BSE_F2,ENG_F2,BSE,BSE_S2,ENG_S2,BSE,BSE_F3,ENG_F3,BSE,BSE_S3,ENG_S3,BSE,BSE_F4,ENG_F4,BSE,BSE_S4,ENG_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200901,GRAD_F5,_F5,BSE,05,2009
41,M,I,White,US,US_F1,IC_F1,Fall 2005,US,US_S1,IC_S1,MATH,MATH_F2,SCI_F2,MATH,MATH_S2,SCI_S2,MATH,MATH_F3,SCI_F3,CS,CS_S3,ENG_S3,CS,CS_F4,ENG_F4,CS,CS_S4,ENG_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200901,GRAD_F5,_F5,CS,05,2009
42,M,I,White,GE,GE_F1,ENG_F1,Fall 2005,GE,GE_S1,ENG_S1,CHE,CHE_F2,ENG_F2,CHE,CHE_S2,ENG_S2,CHE,CHE_F3,ENG_F3,CHE,CHE_S3,ENG_S3,CHE,CHE_F4,ENG_F4,CHE,CHE_S4,ENG_S4,CHE,CHE_F5,ENG_F5,CHE,CHE_S5,ENG_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,201001,GRAD_F6,_F6,CHE,05,2010
43,F,O,Not Reported,GE,GE_F1,ENG_F1,Fall 2005,GE,GE_S1,ENG_S1,CHE,CHE_F2,ENG_F2,,NE_S2,NE_S2,CHE,CHE_F3,ENG_F3,,NE_S3,NE_S3,CHE,CHE_F4,ENG_F4,CHE,CHE_S4,ENG_S4,CHE,CHE_F5,ENG_F5,CHE,CHE_S5,ENG_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,201001,GRAD_F6,_F6,CHE,05,2010
44,M,I,White,GE,GE_F1,ENG_F1,Fall 2005,GE,GE_S1,ENG_S1,GE,GE_F2,ENG_F2,ME,ME_S2,ENG_S2,ME,ME_F3,ENG_F3,ME,ME_S3,ENG_S3,ME,ME_F4,ENG_F4,ME,ME_S4,ENG_S4,ME,ME_F5,ENG_F5,ME,ME_S5,ENG_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,201001,GRAD_F6,_F6,ME,05,2010
