"ID","SEXENT","tuition_IO","race_ethn_desc_IPEDS","Major_F1","coll_f1","entering_fall","Major_S1","coll_s1","Major_F2","coll_f2","Major_S2","coll_s2","Major_F3","coll_f3","Major_S3","coll_s3","Major_F4","coll_f4","Major_S4","coll_s4","Major_F5","coll_f5","Major_S5","coll_s5","Major_F6","coll_f6","Major_S6","coll_s6","dgrterm","grad_year","SF"
"29","F","I","White","PSYC_F1","SCI_F1","Fall 2001","PSYC_S1","SCI_S1","PSYC_F2","SCI_F2","PSYC_S2","SCI_S2","PSYC_F3","SCI_F3","PSYC_S3","SCI_S3","PSYC_F4","SCI_F4","PSYC_S4","SCI_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"30","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","NE_F2","NE_F2","GE_S2","ENG_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6","201201",,
"31","F","I","White","BIOL_F1","SCI_F1","Fall 2001","BIOL_S1","SCI_S1","HNFE_F2","LAHS_F2","HNFE_S2","LAHS_S2","HNFE_F3","ALS_F3","HNFE_S3","ALS_S3","HNFE_F4","ALS_F4","HNFE_S4","ALS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"32","M","I","White","BIOL_F1","SCI_F1","Fall 2001","BIOL_S1","SCI_S1","BIOL_F2","SCI_F2","BIOL_S2","SCI_S2","BIOL_F3","SCI_F3","BIOL_S3","SCI_S3","BIOL_F4","SCI_F4","GRAD_S4","GRAD_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200409","GRAD_S4","S4"
"33","F","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","US_F2","IC_F2","SOC_S2","SCI_S2","SOC_F3","LAHS_F3","SOC_S3","LAHS_S3","SOC_F4","LAHS_F4","SOC_S4","LAHS_S4","SOC_F5","LAHS_F5","NE_S5","NE_S5","NE_F6","NE_F6","SOC_S6","LAHS_S6","200709",,
"34","F","I","White","ARCH_F1","AUS_F1","Fall 2001","UST_S1","IC_S1","UST_F2","IC_F2","UST_S2","IC_S2","NE_F3","NE_F3","NE_S3","NE_S3","NE_F4","NE_F4","NE_S4","NE_S4","NE_F5","NE_F5","NE_S5","NE_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
"35","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","GE_F2","ENG_F2","ME_S2","ENG_S2","ME_F3","ENG_F3","ME_S3","ENG_S3","ME_F4","ENG_F4","ME_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"36","M","I","White","GE_F1","ENG_F1","Fall 2001","GE_S1","ENG_S1","ISE_F2","ENG_F2","ISE_S2","ENG_S2","ISE_F3","ENG_F3","ISE_S3","ENG_S3","ISE_F4","ENG_F4","ISE_S4","ENG_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"37","F","I","White","US_F1","IC_F1","Fall 2001","US_S1","IC_S1","COMM_F2","LAHS_F2","COMM_S2","LAHS_S2","COMM_F3","LAHS_F3","COMM_S3","LAHS_S3","COMM_F4","LAHS_F4","COMM_S4","LAHS_S4","GRAD_F5","GRAD_F5","GRAD_S5","GRAD_S5","GRAD_F6","GRAD_F6","GRAD_S6","GRAD_S6","200501","GRAD_F5","F5"
"38","M","I","White","CS_F1","SCI_F1","Fall 2001","CS_S1","SCI_S1","CS_F2","SCI_F2","UST_S2","IC_S2","UST_F3","IC_F3","NE_S3","NE_S3","UST_F4","IC_F4","NE_S4","NE_S4","CHEM_F5","SCI_F5","CHEM_S5","SCI_S5","NE_F6","NE_F6","NE_S6","NE_S6",,,
