ID,SEXENT,tuition_IO,race_ethn_desc_IPEDS,Field4,heg_f1,Major_F1,coll_f1,entering_fall,heg_s1,Major_S1,coll_s1,heg_f2,Major_F2,coll_f2,heg_s2,Major_S2,coll_s2,heg_f3,Major_F3,coll_f3,heg_s3,Major_S3,coll_s3,heg_f4,Major_F4,coll_f4,heg_s4,Major_S4,coll_s4,heg_f5,Major_F5,coll_f5,heg_s5,Major_S5,coll_s5,heg_f6,Major_F6,coll_f6,heg_s6,Major_S6,coll_s6,dgrterm,Major_SF,SF,degree_major,degree_college,degree_year
27,F,I,White,,NR,NR_F1,NRE_F1,Fall 2004,NR,NR_S1,NRE_S1,WSCI,WSCI_F2,NRE_F2,WSCI,WSCI_S2,NRE_S2,WSCI,WSCI_F3,NRE_F3,WSCI,WSCI_S3,NRE_S3,WSCI,WSCI_F4,NRE_F4,,GRAD_S4,GRAD_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200709,GRAD_S4,_S4,WSCI,10,2007
28,F,I,Not Reported,,GE,GE_F1,ENG_F1,Fall 2004,GE,GE_S1,ENG_S1,GE,GE_F2,ENG_F2,AE,AE_S2,ENG_S2,AE,AE_F3,ENG_F3,AE,AE_S3,ENG_S3,AE,AE_F4,ENG_F4,AE,AE_S4,ENG_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,AE,05,2008
29,F,I,White,,APSC,APSC_F1,ALS_F1,Fall 2004,APSC,APSC_S1,ALS_S1,APSC,APSC_F2,ALS_F2,APSC,APSC_S2,ALS_S2,APSC,APSC_F3,ALS_F3,,NE_S3,NE_S3,APSC,APSC_F4,ALS_F4,APSC,APSC_S4,ALS_S4,APSC,APSC_F5,ALS_F5,APSC,APSC_S5,ALS_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200901,GRAD_F6,_F6,APSC,01,2009
30,M,O,White,,PSCI,PSCI_F1,LAHS_F1,Fall 2004,PSCI,PSCI_S1,LAHS_S1,PSCI,PSCI_F2,LAHS_F2,PSCI,PSCI_S2,LAHS_S2,PSCI,PSCI_F3,LAHS_F3,PSCI,PSCI_S3,LAHS_S3,PSCI,PSCI_F4,LAHS_F4,PSCI,PSCI_S4,LAHS_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,PSCI,07,2008
31,M,I,White,,GE,GE_F1,ENG_F1,Fall 2004,GE,GE_S1,ENG_S1,EE,EE_F2,ENG_F2,EE,EE_S2,ENG_S2,EE,EE_F3,ENG_F3,EE,EE_S3,ENG_S3,EE,EE_F4,ENG_F4,EE,EE_S4,ENG_S4,EE,EE_F5,ENG_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200809,GRAD_S5,_S5,EE,05,2008
32,M,I,Black or African American,,CS,CS_F1,ENG_F1,Fall 2004,CS,CS_S1,ENG_S1,CS,CS_F2,ENG_F2,,NE_S2,NE_S2,CS,CS_F3,ENG_F3,,NE_S3,NE_S3,,NE_F4,NE_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
33,M,I,White,,FORS,FORS_F1,NRE_F1,Fall 2004,FORS,FORS_S1,NRE_S1,FORS,FORS_F2,NRE_F2,GEOG,GEOG_S2,NRE_S2,GEOG,GEOG_F3,NRE_F3,GEOG,GEOG_S3,NRE_S3,GEOG,GEOG_F4,NRE_F4,GEOG,GEOG_S4,NRE_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,GEOG,10,2008
34,M,I,White,,AAEC,AAEC_F1,ALS_F1,Fall 2004,AAEC,AAEC_S1,ALS_S1,AAEC,AAEC_F2,ALS_F2,AAEC,AAEC_S2,ALS_S2,AAEC,AAEC_F3,ALS_F3,AAEC,AAEC_S3,ALS_S3,AAEC,AAEC_F4,ALS_F4,AAEC,AAEC_S4,ALS_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,AAEC,01,2008
35,F,I,White,,BIOC,BIOC_F1,SCI_F1,Fall 2004,BIOC,BIOC_S1,SCI_S1,BIOC,BIOC_F2,SCI_F2,BIOC,BIOC_S2,SCI_S2,BIOC,BIOC_F3,SCI_F3,BIOC,BIOC_S3,SCI_S3,BIOC,BIOC_F4,SCI_F4,BIOC,BIOC_S4,SCI_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
36,F,I,White,,BIOL,BIOL_F1,SCI_F1,Fall 2004,BIOL,BIOL_S1,SCI_S1,BIOL,BIOL_F2,SCI_F2,BIOL,BIOL_S2,SCI_S2,BIOL,BIOL_F3,SCI_F3,BIOL,BIOL_S3,SCI_S3,BIOL,BIOL_F4,SCI_F4,BIOL,BIOL_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200801,GRAD_F5,_F5,BIOL,08,2008
