ID,SEXENT,tuition_IO,race_ethn_desc_IPEDS,heg_f1,Major_F1,coll_f1,entering_fall,heg_s1,Major_S1,coll_s1,heg_f2,Major_F2,coll_f2,heg_s2,Major_S2,coll_s2,heg_f3,Major_F3,coll_f3,heg_s3,Major_S3,coll_s3,heg_f4,Major_F4,coll_f4,heg_s4,Major_S4,coll_s4,heg_f5,Major_F5,coll_f5,heg_s5,Major_S5,coll_s5,heg_f6,Major_F6,coll_f6,heg_s6,Major_S6,coll_s6,dgrterm,GRAD_SF,SF,degree_major,degree_college,degree_year
2837,F,I,White,PSYC,PSYC_F1,SCI_F1,Fall 2002,PSYC,PSYC_S1,SCI_S1,PSYC,PSYC_F2,SCI_F2,PSYC,PSYC_S2,SCI_S2,PSYC,PSYC_F3,SCI_F3,PSYC,PSYC_S3,SCI_S3,PSYC,PSYC_F4,SCI_F4,PSYC,PSYC_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,PSYC,08,2006
2838,M,I,Not Reported,BIOC,BIOC_F1,SCI_F1,Fall 2002,BIOC,BIOC_S1,SCI_S1,BIOC,BIOC_F2,SCI_F2,BIOC,BIOC_S2,SCI_S2,BIOC,BIOC_F3,SCI_F3,BIOC,BIOC_S3,SCI_S3,BIOC,BIOC_F4,SCI_F4,BIOC,BIOC_S4,SCI_S4,BIOC,BIOC_F5,SCI_F5,BIOC,BIOC_S5,SCI_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,BIOC,08,2007
2839,F,I,Asian,US,US_F1,IC_F1,Fall 2002,US,US_S1,IC_S1,FIN,FIN_F2,BIZ_F2,FIN,FIN_S2,BIZ_S2,FIN,FIN_F3,BIZ_F3,FIN,FIN_S3,BIZ_S3,FIN,FIN_F4,BIZ_F4,FIN,FIN_S4,BIZ_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,FIN,03,2006
2840,F,I,White,BIOL,BIOL_F1,SCI_F1,Fall 2002,BIOL,BIOL_S1,SCI_S1,BIOL,BIOL_F2,SCI_F2,BIOL,BIOL_S2,SCI_S2,BIOL,BIOL_F3,SCI_F3,BIOL,BIOL_S3,SCI_S3,BIOL,BIOL_F4,SCI_F4,BIOL,BIOL_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,BIOL,08,2006
2841,F,I,White,US,US_F1,IC_F1,Fall 2002,US,US_S1,IC_S1,US,US_F2,IC_F2,MKTG,MKTG_S2,BIZ_S2,MKTG,MKTG_F3,BIZ_F3,MKTG,MKTG_S3,BIZ_S3,MKTG,MKTG_F4,BIZ_F4,MKTG,MKTG_S4,BIZ_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,MKTG,03,2006
2842,M,O,Black or African American,ACIS,ACIS_F1,BIZ_F1,Fall 2002,,NE_S1,NE_S1,,NE_F2,NE_F2,,NE_S2,NE_S2,,NE_F3,NE_F3,,NE_S3,NE_S3,,NE_F4,NE_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
2843,F,I,White,BUS,BUS_F1,BIZ_F1,Fall 2002,BUS,BUS_S1,BIZ_S1,BUS,BUS_F2,BIZ_F2,MGT,MGT_S2,BIZ_S2,MGT,MGT_F3,BIZ_F3,MGT,MGT_S3,BIZ_S3,MGT,MGT_F4,BIZ_F4,MGT,MGT_S4,BIZ_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,MGT,03,2006
2844,M,O,White,US,US_F1,IC_F1,Fall 2002,US,US_S1,IC_S1,,NE_F2,NE_F2,,NE_S2,NE_S2,US,US_F3,IC_F3,US,US_S3,IC_S3,US,US_F4,IC_F4,ECON,ECON_S4,BIZ_S4,ECON,ECON_F5,BIZ_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
2845,M,O,White,IDS,IDS_F1,AUS_F1,Fall 2002,IDS,IDS_S1,AUS_S1,IDS,IDS_F2,AUS_F2,IDS,IDS_S2,AUS_S2,IDS,IDS_F3,AUS_F3,IDS,IDS_S3,AUS_S3,IDS,IDS_F4,AUS_F4,IDS,IDS_S4,AUS_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,IDS,02,2006
2846,M,O,White,US,US_F1,IC_F1,Fall 2002,US,US_S1,IC_S1,US,US_F2,IC_F2,US,US_S2,IC_S2,COMM,COMM_F3,LAHS_F3,COMM,COMM_S3,LAHS_S3,COMM,COMM_F4,LAHS_F4,COMM,COMM_S4,LAHS_S4,COMM,COMM_F5,LAHS_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200609,GRAD_S5,S5,COMM,07,2006
2847,F,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,CPE,CPE_F2,ENG_F2,CPE,CPE_S2,ENG_S2,ECAS,ECAS_F3,SCI_F3,ECAS,ECAS_S3,SCI_S3,ECAS,ECAS_F4,SCI_F4,ECAS,ECAS_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,ECAS,08,2006
2848,M,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,AE,AE_F2,ENG_F2,AE,AE_S2,ENG_S2,AE,AE_F3,ENG_F3,AE,AE_S3,ENG_S3,AE,AE_F4,ENG_F4,AE,AE_S4,ENG_S4,AE,AE_F5,ENG_F5,AE,AE_S5,ENG_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,AE,05,2007
2849,F,O,White,PHYS,PHYS_F1,SCI_F1,Fall 2002,PHYS,PHYS_S1,SCI_S1,APSC,APSC_F2,ALS_F2,APSC,APSC_S2,ALS_S2,APSC,APSC_F3,ALS_F3,APSC,APSC_S3,ALS_S3,APSC,APSC_F4,ALS_F4,APSC,APSC_S4,ALS_S4,APSC,APSC_F5,ALS_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200609,GRAD_S5,S5,APSC,01,2006
2850,M,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,MINE,MINE_F2,ENG_F2,MINE,MINE_S2,ENG_S2,MINE,MINE_F3,ENG_F3,MINE,MINE_S3,ENG_S3,MINE,MINE_F4,ENG_F4,MINE,MINE_S4,ENG_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,MINE,05,2006
2851,M,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,GE,GE_F2,ENG_F2,,NE_S2,NE_S2,,NE_F3,NE_F3,GE,GE_S3,ENG_S3,GE,GE_F4,ENG_F4,GE,GE_S4,ENG_S4,MINE,MINE_F5,ENG_F5,MINE,MINE_S5,ENG_S5,MINE,MINE_F6,ENG_F6,MINE,MINE_S6,ENG_S6,201201,,,MINE,05,2012
2852,F,O,White,WSCI,WSCI_F1,NRE_F1,Fall 2002,WSCI,WSCI_S1,NRE_S1,WSCI,WSCI_F2,NRE_F2,GEOG,GEOG_S2,NRE_S2,GEOG,GEOG_F3,NRE_F3,GEOG,GEOG_S3,NRE_S3,,NE_F4,NE_F4,GEOG,GEOG_S4,NRE_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,GEOG,10,2006
2853,M,O,White,CS,CS_F1,SCI_F1,Fall 2002,CS,CS_S1,SCI_S1,CS,CS_F2,ENG_F2,CS,CS_S2,ENG_S2,CS,CS_F3,ENG_F3,CS,CS_S3,ENG_S3,CS,CS_F4,ENG_F4,CS,CS_S4,ENG_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,CS,05,2006
2854,M,O,White,BUS,BUS_F1,BIZ_F1,Fall 2002,BUS,BUS_S1,BIZ_S1,BUS,BUS_F2,BIZ_F2,MGT,MGT_S2,BIZ_S2,FIN,FIN_F3,BIZ_F3,FIN,FIN_S3,BIZ_S3,FIN,FIN_F4,BIZ_F4,FIN,FIN_S4,BIZ_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200607,GRAD_F5,F5,FIN,03,2006
2855,M,O,White,WSCI,WSCI_F1,NRE_F1,Fall 2002,WSCI,WSCI_S1,NRE_S1,,NE_F2,NE_F2,,NE_S2,NE_S2,,NE_F3,NE_F3,,NE_S3,NE_S3,WSCI,WSCI_F4,NRE_F4,WSCI,WSCI_S4,NRE_S4,WSCI,WSCI_F5,NRE_F5,APSC,APSC_S5,ALS_S5,APSC,APSC_F6,ALS_F6,APSC,APSC_S6,ALS_S6,200809,,,APSC,01,2008
2856,F,O,Asian,PSYC,PSYC_F1,SCI_F1,Fall 2002,PSYC,PSYC_S1,SCI_S1,PSYC,PSYC_F2,SCI_F2,PSYC,PSYC_S2,SCI_S2,PSYC,PSYC_F3,SCI_F3,PSYC,PSYC_S3,SCI_S3,PSYC,PSYC_F4,SCI_F4,PSYC,PSYC_S4,SCI_S4,PSYC,PSYC_F5,SCI_F5,PSYC,PSYC_S5,SCI_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,PSYC,08,2007
2857,F,O,White,US,US_F1,IC_F1,Fall 2002,US,US_S1,IC_S1,HTM,HTM_F2,BIZ_F2,HTM,HTM_S2,BIZ_S2,HTM,HTM_F3,BIZ_F3,MKTG,MKTG_S3,BIZ_S3,MKTG,MKTG_F4,BIZ_F4,MKTG,MKTG_S4,BIZ_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,MKTG,03,2006
2858,M,O,White,BCHM,BCHM_F1,ALS_F1,Fall 2002,BCHM,BCHM_S1,ALS_S1,BCHM,BCHM_F2,ALS_F2,BCHM,BCHM_S2,ALS_S2,BCHM,BCHM_F3,ALS_F3,BCHM,BCHM_S3,ALS_S3,BCHM,BCHM_F4,ALS_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
2859,M,O,Asian,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,CPE,CPE_F2,ENG_F2,CPE,CPE_S2,ENG_S2,CPE,CPE_F3,ENG_F3,CPE,CPE_S3,ENG_S3,CPE,CPE_F4,ENG_F4,CPE,CPE_S4,ENG_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,CPE,05,2006
2860,F,O,White,US,US_F1,IC_F1,Fall 2002,US,US_S1,IC_S1,MKTG,MKTG_F2,BIZ_F2,MKTG,MKTG_S2,BIZ_S2,ACIS,ACIS_F3,BIZ_F3,ACIS,ACIS_S3,BIZ_S3,ACIS,ACIS_F4,BIZ_F4,ACIS,ACIS_S4,BIZ_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,ACIS,03,2006
2861,M,O,White,US,US_F1,IC_F1,Fall 2002,US,US_S1,IC_S1,BIOL,BIOL_F2,SCI_F2,BIOL,BIOL_S2,SCI_S2,BIOL,BIOL_F3,SCI_F3,PSYC,PSYC_S3,SCI_S3,PSYC,PSYC_F4,SCI_F4,PSYC,PSYC_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,PSYC,08,2006
2862,F,O,White,APSC,APSC_F1,ALS_F1,Fall 2002,APSC,APSC_S1,ALS_S1,APSC,APSC_F2,ALS_F2,APSC,APSC_S2,ALS_S2,APSC,APSC_F3,ALS_F3,APSC,APSC_S3,ALS_S3,APSC,APSC_F4,ALS_F4,APSC,APSC_S4,ALS_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,APSC,01,2006
2863,M,O,White,FIN,FIN_F1,BIZ_F1,Fall 2002,FIN,FIN_S1,BIZ_S1,FIN,FIN_F2,BIZ_F2,FIN,FIN_S2,BIZ_S2,FIN,FIN_F3,BIZ_F3,FIN,FIN_S3,BIZ_S3,FIN,FIN_F4,BIZ_F4,FIN,FIN_S4,BIZ_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,FIN,03,2006
2864,M,O,White,COMM,COMM_F1,LAHS_F1,Fall 2002,COMM,COMM_S1,LAHS_S1,COMM,COMM_F2,LAHS_F2,COMM,COMM_S2,LAHS_S2,COMM,COMM_F3,LAHS_F3,COMM,COMM_S3,LAHS_S3,COMM,COMM_F4,LAHS_F4,COMM,COMM_S4,LAHS_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,COMM,07,2006
2865,F,I,White,BIOL,BIOL_F1,SCI_F1,Fall 2002,BIOL,BIOL_S1,SCI_S1,BIOL,BIOL_F2,SCI_F2,BIOL,BIOL_S2,SCI_S2,BIOL,BIOL_F3,SCI_F3,BIOL,BIOL_S3,SCI_S3,HTM,HTM_F4,BIZ_F4,HTM,HTM_S4,BIZ_S4,HTM,HTM_F5,BIZ_F5,HTM,HTM_S5,BIZ_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200707,GRAD_F6,F6,HTM,03,2007
2866,M,O,White,BUS,BUS_F1,BIZ_F1,Fall 2002,BUS,BUS_S1,BIZ_S1,BUS,BUS_F2,BIZ_F2,BUS,BUS_S2,BIZ_S2,MGT,MGT_F3,BIZ_F3,MGT,MGT_S3,BIZ_S3,MGT,MGT_F4,BIZ_F4,MGT,MGT_S4,BIZ_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,MGT,03,2006
2867,F,O,White,US,US_F1,IC_F1,Fall 2002,ECON,ECON_S1,BIZ_S1,ECON,ECON_F2,BIZ_F2,ECON,ECON_S2,BIZ_S2,ECON,ECON_F3,BIZ_F3,ECON,ECON_S3,BIZ_S3,FIN,FIN_F4,BIZ_F4,FIN,FIN_S4,BIZ_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,FIN,03,2006
2868,F,O,Asian,APSC,APSC_F1,ALS_F1,Fall 2002,BIOL,BIOL_S1,SCI_S1,BIOL,BIOL_F2,SCI_F2,BIOL,BIOL_S2,SCI_S2,BIOL,BIOL_F3,SCI_F3,BIOL,BIOL_S3,SCI_S3,BIOL,BIOL_F4,SCI_F4,BIOL,BIOL_S4,SCI_S4,BIOL,BIOL_F5,SCI_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200609,GRAD_S5,S5,BIOL,08,2006
2869,M,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,GE,GE_F2,ENG_F2,CPE,CPE_S2,ENG_S2,CPE,CPE_F3,ENG_F3,,NE_S3,NE_S3,CPE,CPE_F4,ENG_F4,CPE,CPE_S4,ENG_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200607,GRAD_F5,F5,CPE,05,2006
2870,M,O,White,FORS,FORS_F1,NRE_F1,Fall 2002,WSCI,WSCI_S1,NRE_S1,WSCI,WSCI_F2,NRE_F2,WSCI,WSCI_S2,NRE_S2,WSCI,WSCI_F3,NRE_F3,WSCI,WSCI_S3,NRE_S3,WSCI,WSCI_F4,NRE_F4,WSCI,WSCI_S4,NRE_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,WSCI,10,2006
2871,F,O,White,BIOC,BIOC_F1,SCI_F1,Fall 2002,BIOC,BIOC_S1,SCI_S1,BIOC,BIOC_F2,SCI_F2,BIOL,BIOL_S2,SCI_S2,BIOL,BIOL_F3,SCI_F3,BIOL,BIOL_S3,SCI_S3,BIOL,BIOL_F4,SCI_F4,BIOL,BIOL_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,BIOL,08,2006
2872,M,O,White,IDS,IDS_F1,AUS_F1,Fall 2002,IDS,IDS_S1,AUS_S1,IDS,IDS_F2,AUS_F2,IDS,IDS_S2,AUS_S2,IDS,IDS_F3,AUS_F3,SOC,SOC_S3,LAHS_S3,SOC,SOC_F4,LAHS_F4,SOC,SOC_S4,LAHS_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200606,GRAD_F5,F5,SOC,07,2006
2873,F,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,AE,AE_F2,ENG_F2,AE,AE_S2,ENG_S2,AE,AE_F3,ENG_F3,AE,AE_S3,ENG_S3,AE,AE_F4,ENG_F4,AE,AE_S4,ENG_S4,AE,AE_F5,ENG_F5,AE,AE_S5,ENG_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,200601,GRAD_F5,F5,AE,05,2006
2874,M,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,CPE,CPE_F2,ENG_F2,CPE,CPE_S2,ENG_S2,,NE_F3,NE_F3,CPE,CPE_S3,ENG_S3,CPE,CPE_F4,ENG_F4,,NE_S4,NE_S4,CPE,CPE_F5,ENG_F5,CPE,CPE_S5,ENG_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,CPE,05,2007
2875,F,O,White,APSC,APSC_F1,ALS_F1,Fall 2002,,NE_S1,NE_S1,,NE_F2,NE_F2,,NE_S2,NE_S2,,NE_F3,NE_F3,,NE_S3,NE_S3,,NE_F4,NE_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
2876,F,O,White,MGT,MGT_F1,BIZ_F1,Fall 2002,MGT,MGT_S1,BIZ_S1,MGT,MGT_F2,BIZ_F2,MGT,MGT_S2,BIZ_S2,MGT,MGT_F3,BIZ_F3,MGT,MGT_S3,BIZ_S3,MGT,MGT_F4,BIZ_F4,MGT,MGT_S4,BIZ_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,MGT,03,2006
2877,M,O,Asian,IS,IS_F1,SCI_F1,Fall 2002,IS,IS_S1,SCI_S1,IS,IS_F2,LAHS_F2,IS,IS_S2,LAHS_S2,,NE_F3,NE_F3,,NE_S3,NE_S3,,NE_F4,NE_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
2878,M,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,,NE_F2,NE_F2,,NE_S2,NE_S2,,NE_F3,NE_F3,,NE_S3,NE_S3,,NE_F4,NE_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
2879,M,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,,NE_F2,NE_F2,GE,GE_S2,ENG_S2,CE,CE_F3,ENG_F3,MKTG,MKTG_S3,BIZ_S3,MKTG,MKTG_F4,BIZ_F4,MKTG,MKTG_S4,BIZ_S4,MKTG,MKTG_F5,BIZ_F5,MKTG,MKTG_S5,BIZ_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,MKTG,03,2007
2880,F,O,White,APSC,APSC_F1,ALS_F1,Fall 2002,APSC,APSC_S1,ALS_S1,APSC,APSC_F2,ALS_F2,APSC,APSC_S2,ALS_S2,,NE_F3,NE_F3,,NE_S3,NE_S3,,NE_F4,NE_F4,,NE_S4,NE_S4,,NE_F5,NE_F5,,NE_S5,NE_S5,,NE_F6,NE_F6,,NE_S6,NE_S6,,,,,,
2881,M,O,White,US,US_F1,IC_F1,Fall 2002,US,US_S1,IC_S1,COMM,COMM_F2,LAHS_F2,COMM,COMM_S2,LAHS_S2,COMM,COMM_F3,LAHS_F3,COMM,COMM_S3,LAHS_S3,COMM,COMM_F4,LAHS_F4,COMM,COMM_S4,LAHS_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,COMM,07,2006
2882,F,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,GE,GE_F2,ENG_F2,BIOL,BIOL_S2,SCI_S2,BIOL,BIOL_F3,SCI_F3,BIOL,BIOL_S3,SCI_S3,BIOL,BIOL_F4,SCI_F4,BIOL,BIOL_S4,SCI_S4,BIOL,BIOL_F5,SCI_F5,BIOL,BIOL_S5,SCI_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,BIOL,08,2007
2883,F,O,White,ARCH,ARCH_F1,AUS_F1,Fall 2002,ARCH,ARCH_S1,AUS_S1,ARCH,ARCH_F2,AUS_F2,ARCH,ARCH_S2,AUS_S2,ARCH,ARCH_F3,AUS_F3,ARCH,ARCH_S3,AUS_S3,ARCH,ARCH_F4,AUS_F4,ARCH,ARCH_S4,AUS_S4,ARCH,ARCH_F5,AUS_F5,ARCH,ARCH_S5,AUS_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,ARCH,02,2007
2884,M,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,ME,ME_F2,ENG_F2,ME,ME_S2,ENG_S2,ME,ME_F3,ENG_F3,,NE_S3,NE_S3,,NE_F4,NE_F4,ME,ME_S4,ENG_S4,ME,ME_F5,ENG_F5,ME,ME_S5,ENG_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,ME,05,2007
2885,F,O,White,BIOL,BIOL_F1,SCI_F1,Fall 2002,BIOL,BIOL_S1,SCI_S1,BIOL,BIOL_F2,SCI_F2,BIOL,BIOL_S2,SCI_S2,BIOL,BIOL_F3,SCI_F3,BIOL,BIOL_S3,SCI_S3,BIOL,BIOL_F4,SCI_F4,BIOL,BIOL_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,BIOL,08,2006
2886,M,O,White,IDS,IDS_F1,AUS_F1,Fall 2002,IDS,IDS_S1,AUS_S1,PSCI,PSCI_F2,LAHS_F2,PSCI,PSCI_S2,LAHS_S2,PSCI,PSCI_F3,LAHS_F3,PSCI,PSCI_S3,LAHS_S3,PSCI,PSCI_F4,LAHS_F4,PSCI,PSCI_S4,LAHS_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,PSCI,07,2006
2887,M,O,Asian,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,GE,GE_F2,ENG_F2,GE,GE_S2,ENG_S2,CPE,CPE_F3,ENG_F3,CPE,CPE_S3,ENG_S3,CPE,CPE_F4,ENG_F4,CPE,CPE_S4,ENG_S4,CPE,CPE_F5,ENG_F5,CPE,CPE_S5,ENG_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,CPE,05,2007
2888,M,O,White,HORT,HORT_F1,ALS_F1,Fall 2002,HORT,HORT_S1,ALS_S1,HORT,HORT_F2,ALS_F2,HORT,HORT_S2,ALS_S2,HORT,HORT_F3,ALS_F3,HORT,HORT_S3,ALS_S3,HORT,HORT_F4,ALS_F4,HORT,HORT_S4,ALS_S4,HORT,HORT_F5,ALS_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200609,GRAD_S5,S5,HORT,01,2006
2889,F,O,White,US,US_F1,IC_F1,Fall 2002,BIOL,BIOL_S1,SCI_S1,BIOL,BIOL_F2,SCI_F2,BIOL,BIOL_S2,SCI_S2,BIOL,BIOL_F3,SCI_F3,BIOL,BIOL_S3,SCI_S3,BIOL,BIOL_F4,SCI_F4,BIOL,BIOL_S4,SCI_S4,,GRAD_F5,GRAD_F5,,GRAD_S5,GRAD_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200601,GRAD_F5,F5,BIOL,08,2006
2890,M,O,White,GE,GE_F1,ENG_F1,Fall 2002,GE,GE_S1,ENG_S1,,NE_F2,NE_F2,ESM,ESM_S2,ENG_S2,ESM,ESM_F3,ENG_F3,ESM,ESM_S3,ENG_S3,ESM,ESM_F4,ENG_F4,ESM,ESM_S4,ENG_S4,IDST,IDST_F5,LAHS_F5,IDST,IDST_S5,LAHS_S5,IDST,IDST_F6,LAHS_F6,,GRAD_S6,GRAD_S6,200709,GRAD_S6,S6,IDST,07,2007
2891,F,O,White,BIOC,BIOC_F1,SCI_F1,Fall 2002,BIOC,BIOC_S1,SCI_S1,BIOC,BIOC_F2,SCI_F2,BIOC,BIOC_S2,SCI_S2,ARTF,ARTF_F3,AUS_F3,ARTF,ARTF_S3,AUS_S3,ARTF,ARTF_F4,AUS_F4,ARTF,ARTF_S4,AUS_S4,,NE_F5,NE_F5,ARTF,ARTF_S5,AUS_S5,,GRAD_F6,GRAD_F6,,GRAD_S6,GRAD_S6,200701,GRAD_F6,F6,ARTF,02,2007
